capture_date,account,handle,profile_url,public_followers,relative_to_zus,observed_highlights,conversion_surfaces,source_type,screenshot_file
2026-08-29,ZUS Coffee,zus.coffee,https://www.instagram.com/zus.coffee/,228000,1.00,"ZUS Tea Winners; Roving Tour; Buttercreme 2.0; 200k Giveaway; Mission Giveaway; Ube Series; ZUS Tea; MadeInMalaysia","Linktree; App; campaign highlights; product series highlights","public Instagram profile","evidence/ig-zus-coffee-profile.png"
2026-08-29,Starbucks Malaysia,mystarbucks,https://www.instagram.com/mystarbucks/,716000,3.14,"Merchandise; Food; Beverages; Promotions; Whole Beans; Brewing Hours; New App; Kongsi-EID","Link in bio; product menu; promotion highlights; app highlight","public Instagram profile","evidence/ig-mystarbucks-profile.png"
2026-08-29,Tealive,tealiveasia,https://www.instagram.com/tealiveasia/,338000,1.48,"NEW; APP; REVIEW; EVENT; SPECIAL; Vouchers; SIGNATURE; MYTEALIVEMOMENT","Linktree; app; vouchers; events; UGC hashtag highlight","public Instagram profile","evidence/ig-tealiveasia-profile.png"
2026-08-29,GIGI Coffee,gigicoffeemy,https://www.instagram.com/gigicoffeemy/,37000,0.16,"Waterchestnut; Matcha Matcha; AvoCatdo; Hide & Cheese; x Ann Jaafar; Operation Hours","Bio link; product series highlights; store operation information","public Instagram profile","evidence/ig-gigicoffeemy-profile.png"
